id,name,color,category
0,适应气候变化,#55AFE2,Y02A
1,建筑,#A3E3FF,Y02B
2,碳捕集与封存,#8BCFB5,Y02C
3,信息通信技术,#B9DA9A,Y02D
4,能源,#686789,Y02E
5,制造业,#F7A7A6,Y02P
6,交通运输,#E96A6A,Y02T
7,废物管理,#FE8300,Y02W
